book bibliographic info,file,titleref,gcode
1,Richlin1,"Richlin, <i>Slave Theater in the Roman Republic: Plautus and Popular Comedy</i> (2018)",88g-DwAAQBAJ
2,Libson,"Libson, <i>Law and self-knowledge in the Talmud</i> (2018)",UuRUDwAAQBAJ
3,Petrovic,"Petrovic and Petrovic, <i>Inner Purity and Pollution in Greek Religion</i> (2016)",wBM1DQAAQBAJ
4,Blidstein,"Blidstein, <i>Purity Community and Ritual in Early Christian Literature</i> (2017)",KNKdDgAAQBAJ
5,Alikin2,"Alikin, <i>The Earliest History of the Christian Gathering</i> (2009)",dBuzG2enXxMC
6,Ando_Rupke,"Ando and Ruepke, <i>Religion and Law in Classical and Christian Rome</i> (2006)",uZ5JP8gZgJEC
7,Beckt_s,"Beck, <i>The Religion of the Mithras Cult in the Roman Empire: Mysteries of the Unconquered Sun</i> (2006)",GZEUDAAAQBAJ
8,Book1,"Matthews, <i>Perfect Martyr: The Stoning of Stephen and the Construction of Christian Identity</i> (2010)",no8VDAAAQBAJ
9,Book2,"Peppard, <i> The Son of God in the Roman World: Divine Sonship in its Social and Political Context</i> (2011)",AOY2YJizbdAC
10,Book3,"Lieu, <i>Marcion and the Making of a Heretic: God and Scripture in the Second Century</i> (2015)",PtXeBgAAQBAJ
11,Book5,"Huebner, <i>The Family in Roman Egypt: A Comparative Approach to Intergenerational Solidarity </i> (2013)",EymbDwAAQBAJ
12,Book6,"Perry, <i>Gender, Manumission, and the Roman Freedwoman</i> (2014)",SQxaAQAAQBAJ
13,Cain,"Cain, <i>Jerome and the Monastic Clergy: A Commentary on Letter 52 to Nepotian</i> (2013)",bZKZL2vSPdEC
14,Clark,"Clark, <i>Divine Qualities: Cult and Community in Republican Rome</i> (2007)",zt8oAAAAYAAJ
15,Cohen,"Cohen, <i>The Significance of Yavneh and other Essays in Jewish Hellenism</i> (2010)",mmj4RcszCHgC
16,companion1,"Hubbard, <i>A Companion to Greek and Roman Sexualities</i> (2014)",none
17,Gagarin,"Gagarin and Cohen, <i>The Cambridge Companion to Ancient Greek Law</i> (2005)",none
18,Gruen1,"Gruen, <i>Rethinking the Other in Antiquity</i> (2011)",3gGPgMYv7FsC
19,Johnston1,"Johnston, <i>Ancient Greek Divination</i> (2008)",cs_37RJqCzUC
20,Lateiner,"Lateiner and Spatharas, <i>The Ancient Emotion of Disgust</i> (2016)",_QcBDQAAQBAJ
21,Moss1,"Moss, <i>The Other Christs: Imitating Jesus in Ancient Christian Ideologies of Martyrdom</i> (2010)",EfsHl74FzMIC
