author1,title1,joined,centend,centstart,language,number,author0,title0
abydenus,fragments,abydenus:fragments,2,2,Greek,22,,
accius,poeta,accius:poeta,-1,-2,Latin,24,,
accius,praetextae,accius:praetextae,-1,-2,Latin,25,,
accius,tragoediae,accius:tragoediae,-1,-2,Latin,26,,
achaeus,fragments,achaeus:fragments,-5,-5,Greek,30,,
achilles tatius,on the sphere,achilles tatius:on the sphere,2,1,Greek,31,,
achilles tatius,the adventures of leucippe and cleitophon,achilles tatius:the adventures of leucippe and cleitophon,2,2,Greek,32,,
acusilaus,fragments,acusilaus:fragments,-6,-7,Greek,37,,
adamantius,dialogue of adamantius,adamantius:dialogue of adamantius,,,Greek,40,,
adamantius,physiognomica,adamantius:physiognomica,5,5,Greek,41,,
adamnan,de locis santis,adamnan:de locis santis,8,7,Latin,42,,
adrian,isagoge,adrian:isagoge,5,5,Greek,46,,
aelian,nature of animals,aelian:nature of animals,3,2,Greek,50,,
aelian,letters,aelian:letters,3,2,Greek,51,,
aelian,fragments,aelian:fragments,3,2,Greek,52,,
aelian,varia historia,aelian:varia historia,3,2,Greek,53,,
aelianus tacticus,the tactics,aelianus tacticus:the tactics,2,1,Greek,54,,
aelius aristides,in the aegean sea,aelius aristides:in the aegean sea,2,2,Greek,56,,
aelius aristides,on the contrary,aelius aristides:on the contrary,2,2,Greek,57,,
aelius aristides,regarding zeus,aelius aristides:regarding zeus,2,2,Greek,58,,
aelius aristides,hymn to serapis,aelius aristides:hymn to serapis,2,2,Greek,59,,
aelius aristides,on the tomb of alexander,aelius aristides:on the tomb of alexander,2,2,Greek,62,,
aelius aristides,to plato: in defense of the four,aelius aristides:to plato: in defense of the four,2,2,Greek,69,,
aelius aristides,to plato: in defense of oratory,aelius aristides:to plato: in defense of oratory,2,2,Greek,70,,
aelius aristides,against leptines,aelius aristides:against leptines,2,2,Greek,73,,
aelius aristides,a praise of athena,aelius aristides:a praise of athena,2,2,Greek,75,,
aelius aristides,ecnomium of rome,aelius aristides:ecnomium of rome,2,2,Greek,83,,
aelius aristides,heracles,aelius aristides:heracles,2,2,Greek,85,,
aelius aristides,monodies on smyrna,aelius aristides:monodies on smyrna,2,2,Greek,86,,
aelius aristides,dionysus,aelius aristides:dionysus,2,2,Greek,88,,
aelius aristides,the isthmian oration: regarding poseidon,aelius aristides:the isthmian oration: regarding poseidon,2,2,Greek,89,,
aelius aristides,the fifth leuctran oration: in defense of aiding niether side,aelius aristides:the fifth leuctran oration: in defense of aiding niether side,2,2,Greek,98,,
aelius aristides,to asclepius,aelius aristides:to asclepius,2,2,Greek,103,,
aelius aristides,panathenaic oration,aelius aristides:panathenaic oration,2,2,Greek,106,,
aelius aristides,  (aristid. or. 22),aelius aristides:  (aristid. or. 22),2,2,Greek,108,,
aelius aristides,on rhetoric,aelius aristides:on rhetoric,2,2,Greek,110,,
aelius aristides,orations,aelius aristides:orations,2,2,Greek,111,,
aemilianus,epigrams,aemilianus:epigrams,1,1,Greek,122,,
aenas of gaza,letters,aenas of gaza:letters,5,5,Greek,124,,
aenas of gaza,theophrastus sive de animarum immortalitate et corporum resurrectione dialogus,aenas of gaza:theophrastus sive de animarum immortalitate et corporum resurrectione dialogus,5,5,Greek,125,,
aenas tacticus,siegecraft,aenas tacticus:siegecraft,-4,-4,Greek,126,,
aeschines,false embassy,aeschines:false embassy,-4,-4,Greek,129,,
aeschines,letters,aeschines:letters,-4,-4,Greek,131,,
aeschines,against ctesiphon,aeschines:against ctesiphon,-4,-4,Greek,132,,
aeschines,against timarchus,aeschines:against timarchus,-4,-4,Greek,133,,
aeschines socraticus,fragments,aeschines socraticus:fragments,-4,-5,Greek,134,,
aeschines socraticus,fragments,aeschines socraticus:fragments,-4,-5,Greek,135,,
aeschylus,agamemnon,aeschylus:agamemnon,-5,-6,Greek,138,,
aeschylus,libation-bearers,aeschylus:libation-bearers,-5,-6,Greek,139,,
aeschylus,eumenides,aeschylus:eumenides,-5,-6,Greek,140,,
aeschylus,fragments,aeschylus:fragments,-5,-6,Greek,141,,
aeschylus,fragments,aeschylus:fragments,-5,-6,Greek,142,,
aeschylus,fragments,aeschylus:fragments,-5,-6,Greek,143,,
aeschylus,persians,aeschylus:persians,-5,-6,Greek,144,,
aeschylus,prometheus bound,aeschylus:prometheus bound,-5,-6,Greek,145,,
aeschylus,seven against thebes,aeschylus:seven against thebes,-5,-6,Greek,146,,
aeschylus,suppliant women,aeschylus:suppliant women,-5,-6,Greek,147,,
aeschylus of alexandria,fragments,aeschylus of alexandria:fragments,-2,-3,Greek,148,,
aesop,fables,aesop:fables,-6,-7,Greek,151,,
aesop,proverbia,aesop:proverbia,-6,-7,Greek,163,,
aesop,sayings,aesop:sayings,-6,-7,Greek,164,,
agaclytus,fragments,agaclytus:fragments,1,-1,Greek,181,,
agatharchides,on the erythraean sea,agatharchides:on the erythraean sea,-1,-2,Greek,187,,
agatharchides,fragments,agatharchides:fragments,-1,-2,Greek,188,,
agatharchides,fragments,agatharchides:fragments,-1,-2,Greek,189,,
agathemerus,geographiae informatio,agathemerus:geographiae informatio,3,2,Greek,190,,
agathias,epigrams,agathias:epigrams,6,6,Greek,191,,
agathias,historiae,agathias:historiae,6,6,Greek,192,,
agennius,de controversis agrorum,agennius:de controversis agrorum,5,4,Latin,201,,
